Date,Actual_Return,Baseline_Forecast,Historical_Mean_Forecast,Baseline_Error,Historical_Mean_Error,Training_Observations
2024-03-19,-0.0552806436597765,0.0004229731909363525,0.0011341643957577614,-0.05570361685071285,-0.05641480805553426,799
2024-03-20,0.0509143604426563,0.007339250639987752,0.001063645885688344,0.043575109802668544,0.049850714556967955,800
2024-03-21,-0.024189556045524,-0.006580028226201833,0.0011258814843861818,-0.017609527819322165,-0.02531543752991018,801
2024-03-22,-0.030418267244856,0.003899770025824213,0.0010943161009324283,-0.03431803727068021,-0.03151258334578843,802
2024-03-25,0.0702696771695903,-0.0004417258324205648,0.0010550725351219819,0.07071140300201087,0.06921460463446832,803
2024-03-26,-0.01624502386136,-0.010222765219759188,0.0011411603518315194,-0.006022258641600813,-0.017386184213191522,804
2024-03-27,-0.0138229616432781,0.0034180226526788512,0.0011195626074673067,-0.01724098429595695,-0.014942524250745408,805
2024-03-28,0.0263831247700204,0.003978110465475018,0.0011010234954936771,0.022405014304545383,0.025282101274526722,806
2024-04-01,-0.0153763839696944,0.0008086160428713903,0.001132351997692595,-0.01618500001256579,-0.016508735967386994,807
2024-04-02,-0.0604915918986163,-0.0023665149036856945,0.0011119203937725614,-0.0581250769949306,-0.061603512292388855,808
2024-04-03,0.001004543359742,0.006890823648763956,0.001035772665351809,-0.0058862802890219555,-3.1229305609808966e-05,809
2024-04-04,0.0332365350980435,0.0016642703018107429,0.0010357341106535251,0.031572264796232756,0.03220080098738998,810
2024-04-05,-0.004570511889834,-0.002959172002156911,0.0010754391673580747,-0.0016113398876770892,-0.005645951057192075,811
2024-04-08,0.0338188882276003,-0.0028032771078226287,0.0010684860256620257,0.036622165335422924,0.03275040220193827,812
2024-04-09,-0.0363839147837078,-0.004378518930588701,0.0011087694232043848,-0.0320053958531191,-0.03749268420691219,813
2024-04-10,0.0095073964286869,0.008419755234138857,0.0010627096145963849,0.001087641194548043,0.008444686814090515,814
2024-04-11,0.0101130102786856,-0.009808862794145006,0.0010730711935093792,0.019921873072830606,0.00903993908517622,815
2024-04-12,-0.0489131995699212,0.0003217121535731731,0.0010841495502314088,-0.04923491172349437,-0.04999734912015261,816
2024-04-15,-0.011409078485891,-0.0041832927566978866,0.001022953284478468,-0.007225785729193114,-0.01243203177036947,817
