Asset,Date,Benchmark_Cumulative_Squared_Error,Extended_Cumulative_Squared_Error,Benchmark_Minus_Extended_Cumulative_Loss,Extended_Loss_Lower
ETH,2024-11-02,0.2971866915337623,0.2991241924123549,-0.0019375008785925685,False
ETH,2024-11-03,0.29732780963962196,0.29928352099649685,-0.0019557113568748896,False
ETH,2024-11-04,0.2991379090542906,0.30125443073931274,-0.0021165216850221324,False
ETH,2024-11-05,0.299414391742592,0.3014854060995439,-0.0020710143569518946,False
ETH,2024-11-06,0.31071768909426756,0.3125992645598727,-0.0018815754656051342,False
ETH,2024-11-07,0.3162386413149289,0.31809086969238154,-0.001852228377452636,False
ETH,2024-11-08,0.31656315096387855,0.3183972306853721,-0.0018340797214935756,False
ETH,2024-11-09,0.31836949911056006,0.32013022625321735,-0.0017607271426572924,False
ETH,2024-11-10,0.3192059229559722,0.3209240110458778,-0.0017180880899055895,False
ETH,2024-11-11,0.32137964850347883,0.32310058178054823,-0.001720933277069403,False
ETH,2024-11-12,0.3215785968936173,0.3232961265142774,-0.0017175296206601298,False
ETH,2024-11-13,0.323183486462747,0.3250418232099271,-0.001858336747180056,False
ETH,2024-11-14,0.3234468182299819,0.3252714631898888,-0.001824644959906918,False
ETH,2024-11-15,0.3235535358736332,0.3253859172854577,-0.0018323814118244575,False
ETH,2024-11-16,0.32404191506477775,0.32587093815125856,-0.0018290230864808077,False
ETH,2024-11-17,0.3247650894731826,0.32659746569990333,-0.0018323762267207222,False
ETH,2024-11-18,0.3255757400948748,0.3273848586286755,-0.0018091185338007243,False
ETH,2024-11-19,0.3258735203787734,0.32776740119354747,-0.001893880814774096,False
ETH,2024-11-20,0.3259300233452638,0.32784193177733506,-0.0019119084320712854,False
ETH,2024-11-21,0.33250649282887595,0.3343370644996569,-0.0018305716707809339,False
ETH,2024-11-22,0.33255387396711245,0.33438536265805985,-0.0018314886909474026,False
ETH,2024-11-23,0.3330927084436743,0.3349376054285588,-0.0018448969848845476,False
ETH,2024-11-24,0.33378845524674855,0.3355973676050422,-0.0018089123582936684,False
ETH,2024-11-25,0.3341658031427125,0.33598748012102814,-0.001821676978315645,False
ETH,2024-11-26,0.33524566322389066,0.33709331242786655,-0.0018476492039758985,False
ETH,2024-11-27,0.34266286859343353,0.34451075240976703,-0.0018478838163334954,False
ETH,2024-11-28,0.34278285411780546,0.34463783068995846,-0.0018549765721529998,False
ETH,2024-11-29,0.34278750269343333,0.34464039317196665,-0.00185289047853332,False
ETH,2024-11-30,0.34387628370958967,0.3456622329845283,-0.0017859492749386363,False
ETH,2024-12-01,0.3438920693170577,0.3456825425650166,-0.0017904732479589458,False
ETH,2024-12-02,0.3446654664082493,0.346462288517651,-0.0017968221094016856,False
ETH,2024-12-03,0.3446994223456079,0.3464939876908481,-0.0017945653452401955,False
ETH,2024-12-04,0.34840942625703303,0.35014419346555786,-0.0017347672085248345,False
ETH,2024-12-05,0.34843195696346985,0.35017492178047105,-0.0017429648170012024,False
ETH,2024-12-06,0.3504819521522171,0.35223807145017977,-0.001756119297962655,False
ETH,2024-12-07,0.3505377584967303,0.35230616362610534,-0.0017684051293750391,False
ETH,2024-12-08,0.3506088162539485,0.3523808533270126,-0.0017720370730640589,False
ETH,2024-12-09,0.35706619631781716,0.35898463601007685,-0.001918439692259688,False
ETH,2024-12-10,0.3575044118625089,0.35944099329441387,-0.001936581431904949,False
ETH,2024-12-11,0.35974098467643456,0.3616306550689022,-0.001889670392467624,False
ETH,2024-12-12,0.35980444055636146,0.361678866835235,-0.00187442627887352,False
ETH,2024-12-13,0.3599287215817871,0.3618051086739229,-0.0018763870921357784,False
ETH,2024-12-14,0.36009549116837275,0.36198632533952124,-0.0018908341711484922,False
ETH,2024-12-15,0.36010137360118843,0.36199001139817333,-0.0018886377969848933,False
ETH,2024-12-16,0.3626180931036427,0.3644453665313939,-0.0018272734277512415,False
ETH,2024-12-17,0.36336520042691345,0.36527469843251104,-0.0019094980055975874,False
ETH,2024-12-18,0.3676693044882096,0.36950168580410436,-0.0018323813158947488,False
ETH,2024-12-19,0.3729910301341743,0.3750514546498852,-0.0020604245157109236,False
ETH,2024-12-20,0.3729947889421557,0.3750583839963246,-0.0020635950541688652,False
ETH,2024-12-21,0.3748665388110198,0.3768909065299826,-0.002024367718962805,False
ETH,2024-12-22,0.37562444230764463,0.3776792856680783,-0.002054843360433656,False
ETH,2024-12-23,0.3757299119225823,0.37778774747134997,-0.0020578355487676503,False
ETH,2024-12-24,0.3760144978625505,0.37807523274235116,-0.0020607348798006853,False
ETH,2024-12-25,0.3761272760119991,0.3781998132092442,-0.0020725371972450946,False
ETH,2024-12-26,0.37809378489113055,0.3801335144997225,-0.0020397296085919447,False
ETH,2024-12-27,0.37816902225403853,0.3801927179970261,-0.0020236957429875524,False
ETH,2024-12-28,0.37894681279785886,0.3808914551361784,-0.0019446423383195355,False
ETH,2024-12-29,0.3790664326179497,0.3810033864576337,-0.001936953839684008,False
ETH,2024-12-30,0.37911069786651963,0.3810414938327037,-0.0019307959661840624,False
ETH,2024-12-31,0.3791926319441267,0.38114312601704486,-0.0019504940729181408,False
ETH,2025-01-01,0.3792196433906667,0.3811679510548118,-0.0019483076641451103,False
ETH,2025-01-02,0.37978199823629244,0.3816836326709669,-0.0019016344346744485,False
ETH,2025-01-03,0.3816201231469707,0.38352220016532884,-0.0019020770183581504,False
ETH,2025-01-04,0.3818224590221616,0.3837110079011765,-0.0018885488790149063,False
ETH,2025-01-05,0.3818334476656906,0.38371691562342675,-0.0018834679577361402,False
ETH,2025-01-06,0.38186051890649936,0.3837423306315718,-0.0018818117250724575,False
ETH,2025-01-07,0.38882762429851275,0.39085398220650835,-0.0020263579079956018,False
ETH,2025-01-08,0.3894296465382944,0.3914072780191597,-0.0019776314808652717,False
ETH,2025-01-09,0.3904874080745688,0.39248549605925936,-0.0019980879846905886,False
ETH,2025-01-10,0.3907017981903975,0.39270642256948146,-0.0020046243790839413,False
ETH,2025-01-11,0.3909297856318728,0.39291710967145155,-0.0019873240395787417,False
ETH,2025-01-12,0.3910250856457869,0.39301017632824736,-0.001985090682460444,False
ETH,2025-01-13,0.3931963098193588,0.3952782024510125,-0.002081892631653648,False
ETH,2025-01-14,0.3939657302004616,0.39604013892554246,-0.0020744087250808563,False
ETH,2025-01-15,0.3986845453564644,0.400702608811934,-0.0020180634554695653,False
ETH,2025-01-16,0.4001401363113878,0.40212351009043257,-0.0019833737790447836,False
ETH,2025-01-17,0.4019158274215996,0.40382222551890906,-0.0019063980973094696,False
ETH,2025-01-18,0.40566868686943675,0.4075690660383843,-0.0019003791689475302,False
ETH,2025-01-19,0.4060942819208527,0.40799428122019177,-0.0018999992993390946,False
