Date,Asset,Observed_Return,Fitted_Return,Residual
2021-02-21,BTC,0.0177747366303669,-0.001748101245378128,0.01952283787574503
2021-02-22,BTC,-0.0459002091499422,-0.0018222692625828078,-0.04407793988735939
2021-02-23,BTC,-0.1364952129320099,0.006467358976030257,-0.14296257190804015
2021-02-24,BTC,0.0165801178661248,0.01607274743488981,0.0005073704312349887
2021-02-25,BTC,-0.0143333366090367,-0.0015198401815351037,-0.012813496427501595
2021-02-26,BTC,-0.0512551579720103,1.1004889830653102e-05,-0.05126616286184096
2021-02-27,BTC,0.0262180434113659,0.002558687062306279,0.02365935634905962
2021-02-28,BTC,-0.0817452286912186,-0.005637234140815456,-0.07610799455040314
2021-03-01,BTC,0.123424927298235,0.007158651934571457,0.11626627536366355
2021-03-02,BTC,-0.0292694886608832,-0.013474511639467116,-0.015794977021416082
2021-03-03,BTC,0.0709923352701496,0.00376483772474827,0.06722749754540133
2021-03-04,BTC,-0.0616202099889658,-0.009758659102416379,-0.05186155088654942
2021-03-05,BTC,0.023786320748312,0.0060005976980507785,0.017785723050261222
2021-03-06,BTC,-0.0092820905185617,-0.0016615835967413264,-0.007620506921820374
2021-03-07,BTC,0.0495599959892408,0.002459418551907809,0.047100577437332994
2021-03-08,BTC,0.016019160384772,-0.0046735193353130535,0.020692679720085053
2021-03-09,BTC,0.0457064921203025,-0.0029458847474080336,0.04865237686771053
2021-03-10,BTC,0.0466237136390687,-0.002467884460212925,0.049091598099281625
2021-03-11,BTC,0.012472062741432,-0.004828425725754031,0.017300488467186032
2021-03-12,BTC,-0.0114409731321581,-0.0004613271592723889,-0.010979645972885711
2021-03-13,BTC,0.0784113923290044,0.0014781873669790233,0.07693320496202538
2021-03-14,BTC,-0.0315089300382529,-0.00927984500660139,-0.02222908503165151
2021-03-15,BTC,-0.0566746203935254,0.003992991581971391,-0.06066761197549679
2021-03-16,BTC,0.0003747406090539,0.00764952445006942,-0.007274783841015519
2021-03-17,BTC,0.0227741415021691,6.1770653832702e-05,0.022712370848336397
2021-03-18,BTC,-0.0042150631842789,-0.002452440506975446,-0.001762622677303454
2021-03-19,BTC,0.0155904066802492,8.471081432878119e-05,0.015505695865920419
2021-03-20,BTC,0.0023829901861541,-0.0012410445776368788,0.003624034763790979
2021-03-21,BTC,-0.0215760270183098,0.00032045379914931715,-0.021896480817459117
2021-03-22,BTC,-0.048400878196925,0.003161524746422401,-0.0515624029433474
2021-03-23,BTC,-0.0023962359963134,0.006113820721875267,-0.008510056718188667
2021-03-24,BTC,-0.0073363877229259,-0.0007632039822289874,-0.006573183740696913
2021-03-25,BTC,-0.0386379006274353,0.0009566539408701899,-0.03959455456830549
