Date,BTC_Volume,Log_BTC_Volume,Lagged_Log_BTC_Volume
2021-04-08,53053855641,24.694573378743332,25.04932119440768
2021-04-09,46655208546,24.566050409582754,24.694573378743332
2021-04-10,58238470525,24.787811978900027,24.566050409582754
2021-04-11,46280252580,24.557981196906088,24.787811978900027
2021-04-12,51828688519,24.671209665316407,24.557981196906088
2021-04-13,69983454362,24.97152468479972,24.671209665316407
2021-04-14,77451779687,25.072921382073368,24.97152468479972
2021-04-15,60954381579,24.833391578378464,25.072921382073368
2021-04-16,84293007468,25.157564750328778,24.833391578378464
2021-04-17,66138759198,24.91502078408822,25.157564750328778
2021-04-18,97468872758,25.302798910213777,24.91502078408822
2021-04-19,65344865159,24.90294469946891,25.302798910213777
2021-04-20,67849323955,24.940555259360405,24.90294469946891
2021-04-21,54926612466,24.729263812382882,24.940555259360405
2021-04-22,74798630778,25.03806541665235,24.729263812382882
2021-04-23,86668667320,25.185358263488926,25.03806541665235
