Asset,Model,Date,Actual_Return,Predicted_Return,Forecast_Error,Squared_Error,Absolute_Error,Actual_Direction,Predicted_Direction,Direction_Correct,Training_Observations
BTC,Cross_Crypto,2024-02-08,0.0254506904489161,-0.001893418621316964,0.027344109070233064,0.0007477003008448021,0.027344109070233064,1,0,0,772
BTC,Cross_Crypto,2024-02-09,0.0477527202298084,-0.006414516188953251,0.05416723641876165,0.0029340895012460186,0.05416723641876165,1,0,0,773
BTC,Cross_Crypto,2024-02-12,0.0353261638907621,-0.00016937740028016846,0.035495541291042265,0.0012599334515440864,0.035495541291042265,1,0,0,774
BTC,Cross_Crypto,2024-02-13,-0.0056006054205141,-0.004035248022739871,-0.0015653573977742292,2.4503437827665067e-06,0.0015653573977742292,0,0,1,775
BTC,Cross_Crypto,2024-02-14,0.0436132410837892,-0.004997917275006272,0.048611158358795474,0.002363044716983891,0.048611158358795474,1,0,0,776
BTC,Cross_Crypto,2024-02-15,-0.0078045487792248,-0.0031516048400397345,-0.004652943939185065,2.1649887301199033e-05,0.004652943939185065,0,0,1,777
BTC,Cross_Crypto,2024-02-16,0.0123332365534209,0.0033804099608970017,0.008952826592523899,8.015310399580307e-05,0.008952826592523899,1,1,1,778
BTC,Cross_Crypto,2024-02-20,0.0025305841161619,0.0030922268374980327,-0.0005616427213361325,3.154425464298566e-07,0.0005616427213361325,1,1,1,779
BTC,Cross_Crypto,2024-02-21,-0.0123095793303188,0.0017923512115507467,-0.014101930541869546,0.00019886444500771312,0.014101930541869546,0,1,0,780
BTC,Cross_Crypto,2024-02-22,0.0048252652384898,0.00020699912792014608,0.004618266110569654,2.132838186803616e-05,0.004618266110569654,1,1,1,781
BTC,Cross_Crypto,2024-02-23,-0.0127467295829595,0.0008934298843153443,-0.013640159467274844,0.00018605395029268757,0.013640159467274844,0,1,0,782
BTC,Cross_Crypto,2024-02-26,0.054477868421388,0.00811164533622348,0.04636622308516452,0.0021498266431832433,0.04636622308516452,1,1,1,783
BTC,Cross_Crypto,2024-02-27,0.0370866690709048,-0.009550144877292555,0.04663681394819735,0.0021749924152387754,0.04663681394819735,1,0,0,784
BTC,Cross_Crypto,2024-02-28,0.0653611164555198,-0.0072931151815972955,0.0726542316371171,0.005278637374779867,0.0726542316371171,1,0,0,785
BTC,Cross_Crypto,2024-02-29,0.0144659832331768,-0.012199086890496785,0.026665070123673584,0.0007110259647004296,0.026665070123673584,1,0,0,786
BTC,Cross_Crypto,2024-03-01,0.0186672665495534,-0.002404919014281151,0.021072185563834552,0.0004440370044366773,0.021072185563834552,1,0,0,787
BTC,Cross_Crypto,2024-03-04,0.0713198625460871,0.0031618653965920784,0.06815799714949503,0.004645512575430572,0.06815799714949503,1,1,1,788
