Date,ETH_Volume
2021-06-15,29005279219
2021-06-16,24101926180
2021-06-17,21871633186
2021-06-18,22752818388
2021-06-19,18765854896
2021-06-20,22535930423
2021-06-21,33745173825
2021-06-22,35547251725
2021-06-23,28408659206
2021-06-24,20272845769
2021-06-25,22774334998
2021-06-26,20637542361
2021-06-27,19885474742
2021-06-28,25514602841
2021-06-29,24815124419
2021-06-30,25828056268
2021-07-01,29061701793
2021-07-02,31796212554
2021-07-03,17433361641
2021-07-04,18787107473
2021-07-05,20103794829
2021-07-06,20891861314
2021-07-07,22398345285
2021-07-08,23188123689
2021-07-09,23029574602
2021-07-10,17581542471
2021-07-11,14705386138
2021-07-12,17768129077
2021-07-13,16621628658
2021-07-14,17342819679
2021-07-15,15688092552
2021-07-16,14884569147
2021-07-17,13364282076
2021-07-18,13791868728
2021-07-19,14157735481
2021-07-20,17368597636
2021-07-21,21253359756
2021-07-22,17495480331
2021-07-23,16200392492
2021-07-24,16057446601
2021-07-25,14566483636
2021-07-26,29614324233
2021-07-27,23067480378
2021-07-28,18991302378
2021-07-29,16313373113
2021-07-30,20212848934
2021-07-31,18001710283
2021-08-01,22697987055
2021-08-02,22162754104
2021-08-03,22696753413
2021-08-04,25038698173
2021-08-05,31057928075
2021-08-06,26528577879
2021-08-07,33081467129
2021-08-08,28433638008
2021-08-09,31983260936
2021-08-10,27605221710
2021-08-11,26729035052
2021-08-12,25403699845
2021-08-13,23868866254
2021-08-14,19860862133
2021-08-15,22166205051
2021-08-16,23080039949
2021-08-17,25509056745
2021-08-18,21539248425
2021-08-19,19546290360
2021-08-20,20885619828
2021-08-21,18113977628
2021-08-22,15983278460
2021-08-23,20511110509
2021-08-24,20131028906
2021-08-25,18902728235
2021-08-26,17405668117
2021-08-27,18489602004
2021-08-28,13709633698
2021-08-29,13296586731
2021-08-30,19306924485
2021-08-31,27280502987
2021-09-01,30070890104
2021-09-02,24387397330
2021-09-03,26207765094
2021-09-04,20806963328
2021-09-05,18371468576
2021-09-06,18674691198
2021-09-07,39131346397
2021-09-08,31738430771
2021-09-09,24118055831
2021-09-10,22355974097
2021-09-11,18627122934
2021-09-12,16810411424
2021-09-13,22721552948
2021-09-14,19125420848
2021-09-15,17548551804
2021-09-16,20093903064
2021-09-17,17722363229
2021-09-18,15995220233
2021-09-19,14257609743
2021-09-20,27371684581
2021-09-21,30405062665
2021-09-22,23742102645
2021-09-23,18516291047
2021-09-24,25595422789
2021-09-25,18932786754
2021-09-26,21172766310
2021-09-27,19164053681
2021-09-28,16895079070
2021-09-29,15763456158
2021-09-30,17661065099
2021-10-01,22307625573
2021-10-02,19202671704
2021-10-03,15516566862
2021-10-04,17747154101
2021-10-05,16632591670
2021-10-06,21855226591
2021-10-07,19090322927
2021-10-08,16222029488
2021-10-09,12707036942
2021-10-10,16171746693
2021-10-11,18579189588
2021-10-12,18109578443
2021-10-13,16211275589
2021-10-14,19443499909
2021-10-15,20966841512
2021-10-16,16578095629
2021-10-17,15908090346
2021-10-18,17386204158
2021-10-19,15998757133
2021-10-20,20338319988
2021-10-21,28220661820
2021-10-22,19432937968
2021-10-23,14781537792
2021-10-24,14978083638
2021-10-25,15995727040
2021-10-26,17157714562
2021-10-27,26219530404
2021-10-28,25958154575
2021-10-29,22967641914
2021-10-30,14615490626
2021-10-31,17498160238
2021-11-01,17985288261
2021-11-02,20794448222
2021-11-03,21220463155
2021-11-04,18415244464
2021-11-05,15086003586
2021-11-06,14429076700
2021-11-07,13541376033
2021-11-08,19290896267
2021-11-09,20834172627
2021-11-10,22748160545
2021-11-11,17933201129
2021-11-12,18316060208
2021-11-13,14457436261
2021-11-14,12172962219
2021-11-15,16275851299
2021-11-16,27417502801
2021-11-17,22183461850
2021-11-18,21383250893
2021-11-19,20626269711
2021-11-20,15448261277
2021-11-21,14094831413
2021-11-22,19752218877
2021-11-23,22133497059
2021-11-24,21838037128
2021-11-25,18705358318
2021-11-26,26281795488
2021-11-27,16515693874
2021-11-28,15953126340
2021-11-29,19086475837
2021-11-30,28626354111
2021-12-01,27634826695
2021-12-02,21502671027
2021-12-03,25879591528
2021-12-04,38478999182
2021-12-05,25533062707
2021-12-06,28229518513
2021-12-07,22366213354
2021-12-08,18704315119
2021-12-09,22296131874
2021-12-10,28014595631
2021-12-11,19131502454
2021-12-12,14057603914
2021-12-13,23999841386
2021-12-14,23836759957
2021-12-15,26411188833
2021-12-16,19825531254
2021-12-17,23143541098
2021-12-18,19530895889
2021-12-19,16167785597
2021-12-20,21589690675
2021-12-21,16388555198
2021-12-22,13921756199
2021-12-23,18007273742
2021-12-24,12769090623
2021-12-25,10894785525
2021-12-26,11197244172
2021-12-27,11424360002
2021-12-28,17299472803
2021-12-29,15722555672
2021-12-30,12925377999
2021-12-31,14157285268
2022-01-01,9776191466
2022-01-02,9881471548
2022-01-03,12080777893
2022-01-04,14030925983
2022-01-05,18061338502
2022-01-06,24293791313
2022-01-07,24494179209
2022-01-08,16037732700
2022-01-09,12334683863
2022-01-10,19535744145
2022-01-11,15211447193
2022-01-12,16662871689
2022-01-13,15294466275
2022-01-14,13562957230
2022-01-15,9619999078
2022-01-16,9505934874
2022-01-17,12344309617
2022-01-18,13024154091
2022-01-19,13187424144
2022-01-20,10645922764
2022-01-21,26796291874
2022-01-22,27369692036
2022-01-23,16481489511
2022-01-24,28220804648
2022-01-25,16179776932
2022-01-26,21229909340
2022-01-27,16126522783
2022-01-28,14666227351
2022-01-29,11172062661
2022-01-30,9501221177
2022-01-31,13778234614
2022-02-01,13194846235
2022-02-02,13876301217
2022-02-03,12755505065
2022-02-04,18987223729
2022-02-05,13102093957
2022-02-06,9466018022
2022-02-07,15197063785
2022-02-08,17136080906
2022-02-09,13951308490
2022-02-10,18629485080
2022-02-11,16043881065
2022-02-12,11254355757
2022-02-13,9054963563
2022-02-14,12164552172
2022-02-15,13921257873
2022-02-16,12352406833
2022-02-17,15860206214
2022-02-18,15748173433
2022-02-19,9774183169
2022-02-20,11641437834
2022-02-21,18646392740
2022-02-22,16360200507
2022-02-23,13382637240
2022-02-24,29312342666
2022-02-25,17208902048
2022-02-26,11724648351
2022-02-27,16150857254
2022-02-28,19266124733
2022-03-01,18757425786
2022-03-02,16636517503
2022-03-03,13091199728
2022-03-04,14496939024
2022-03-05,8072368396
2022-03-06,8872976607
2022-03-07,14594098731
2022-03-08,13922922903
2022-03-09,14173665398
2022-03-10,13292477213
2022-03-11,12382419582
2022-03-12,6532996574
2022-03-13,8632000379
2022-03-14,11244398839
2022-03-15,12861105614
2022-03-16,17915109769
2022-03-17,12685265194
2022-03-18,15830879093
2022-03-19,11576463120
2022-03-20,12684727326
2022-03-21,15206116098
2022-03-22,16830539230
2022-03-23,16008767658
2022-03-24,18070503166
2022-03-25,17030503831
2022-03-26,8876420740
2022-03-27,13431866834
2022-03-28,20620450770
2022-03-29,19533323636
2022-03-30,15302506131
2022-03-31,17685495686
2022-04-01,20982988937
2022-04-02,23571556215
2022-04-03,15333808649
2022-04-04,18209969743
2022-04-05,16681503199
2022-04-06,25632563639
2022-04-07,16745496605
2022-04-08,17557050669
2022-04-09,9908112156
2022-04-10,10427054790
2022-04-11,21891804831
2022-04-12,20235707410
2022-04-13,16088473629
2022-04-14,15821419931
2022-04-15,11256651536
2022-04-16,8766710365
2022-04-17,10463091281
2022-04-18,18629381299
2022-04-19,14156035096
2022-04-20,15547362265
2022-04-21,20783591093
2022-04-22,16782795477
2022-04-23,9116955609
2022-04-24,9696829579
2022-04-25,22332690614
2022-04-26,19052045399
2022-04-27,17419284041
2022-04-28,18443524633
2022-04-29,18771041399
2022-04-30,13520941867
2022-05-01,15332730152
2022-05-02,18609741545
2022-05-03,13026093219
2022-05-04,18186749944
2022-05-05,22642925048
2022-05-06,21027599270
2022-05-07,13369276367
2022-05-08,20802269935
2022-05-09,36333567678
2022-05-10,38202099639
2022-05-11,45743399154
2022-05-12,42463486402
2022-05-13,24816096567
2022-05-14,15457044616
2022-05-15,14846088335
2022-05-16,21459552191
2022-05-17,18509929297
2022-05-18,17740965589
2022-05-19,18734247914
2022-05-20,15892482289
2022-05-21,8546822406
2022-05-22,10941123403
2022-05-23,16434529708
2022-05-24,13057109007
2022-05-25,13364545730
2022-05-26,23458681818
2022-05-27,25470760032
2022-05-28,23214777872
2022-05-29,10642556101
2022-05-30,19580808705
2022-05-31,18363115560
2022-06-01,21037797760
2022-06-02,17065041354
2022-06-03,14878001811
2022-06-04,8677951273
2022-06-05,8850385937
2022-06-06,16518471852
2022-06-07,24020076750
2022-06-08,18041476023
2022-06-09,12013083393
2022-06-10,18504740451
2022-06-11,21127089064
2022-06-12,23465074882
2022-06-13,45162788786
2022-06-14,33327826525
2022-06-15,37539999450
2022-06-16,18907671369
2022-06-17,14591486540
2022-06-18,21655406608
2022-06-19,21795481981
2022-06-20,19739691429
2022-06-21,15632089439
2022-06-22,15010593493
2022-06-23,14657862919
2022-06-24,16981552654
2022-06-25,12481946184
2022-06-26,12096607824
2022-06-27,12492225250
2022-06-28,14023205651
2022-06-29,15386286815
2022-06-30,16350755497
2022-07-01,17499453625
2022-07-02,9935603640
2022-07-03,8557248150
2022-07-04,13670889311
2022-07-05,16195518291
2022-07-06,15373536703
2022-07-07,14230795894
2022-07-08,16315929082
2022-07-09,8821353104
2022-07-10,10984558039
2022-07-11,12064180410
2022-07-12,12583282453
2022-07-13,18302588147
2022-07-14,16688640823
2022-07-15,17411448225
2022-07-16,18364013796
2022-07-17,16079711737
2022-07-18,27440420623
2022-07-19,27753529276
2022-07-20,22942708340
2022-07-21,20009556587
2022-07-22,18926100582
2022-07-23,14998811383
2022-07-24,17217849557
2022-07-25,20585056021
2022-07-26,18238563509
2022-07-27,23007524016
2022-07-28,27231399966
2022-07-29,23249531113
2022-07-30,15576977870
2022-07-31,14200735370
2022-08-01,16191371176
2022-08-02,20426082309
2022-08-03,16786218830
2022-08-04,14467440626
2022-08-05,18546491876
2022-08-06,11757911705
2022-08-07,10252090340
2022-08-08,16841424404
2022-08-09,16368619692
2022-08-10,23512477984
2022-08-11,23826986482
2022-08-12,17168141904
2022-08-13,16038975216
2022-08-14,14062754456
2022-08-15,20349931313
2022-08-16,15637578930
2022-08-17,20308508124
2022-08-18,14999352229
2022-08-19,25906358731
2022-08-20,18334580263
2022-08-21,15849221752
2022-08-22,18557078599
2022-08-23,18322041914
2022-08-24,16780932907
2022-08-25,14818795695
2022-08-26,26713710143
2022-08-27,18120831899
2022-08-28,12823572918
2022-08-29,17965837488
2022-08-30,21835784470
2022-08-31,20591680941
2022-09-01,16434276817
2022-09-02,17708478709
2022-09-03,9516825994
2022-09-04,8884144998
2022-09-05,13060541168
2022-09-06,22946059125
2022-09-07,19560363854
2022-09-08,17621046717
2022-09-09,20242323690
2022-09-10,13130928217
2022-09-11,12464301922
2022-09-12,17688391310
2022-09-13,23066821734
2022-09-14,17897150206
2022-09-15,26946275878
2022-09-16,16764804299
2022-09-17,10798098671
2022-09-18,15762284723
2022-09-19,18712714223
2022-09-20,14722317220
2022-09-21,20643507800
2022-09-22,18461527259
2022-09-23,18771106339
2022-09-24,12098209717
2022-09-25,11802651633
2022-09-26,16034549271
2022-09-27,17870598937
2022-09-28,18994979566
2022-09-29,13796915736
2022-09-30,14250100093
2022-10-01,6227961237
2022-10-02,7578351650
2022-10-03,10153070907
2022-10-04,10139774963
2022-10-05,9774451820
2022-10-06,12033514861
2022-10-07,10061619355
2022-10-08,5804676208
2022-10-09,5486230123
2022-10-10,8794491050
2022-10-11,9274845260
2022-10-12,8355638578
2022-10-13,17499038202
2022-10-14,13113767755
2022-10-15,6798512624
2022-10-16,7491625206
2022-10-17,9401189650
2022-10-18,10416747806
2022-10-19,8350692785
2022-10-20,9009111996
2022-10-21,10412565245
2022-10-22,7175324564
2022-10-23,9909510925
2022-10-24,13092820173
2022-10-25,25367291294
2022-10-26,32705548427
2022-10-27,22813499245
2022-10-28,19974623205
2022-10-29,21618154775
2022-10-30,13930073427
2022-10-31,19306919714
2022-11-01,14507311208
