Asset,Period,Start_Date,End_Date,N,Variable,Coefficient,HAC_SE,T_Statistic,P_Value,CI_95_Lower,CI_95_Upper,Sign,Significance,Significant_5pct,R_Squared,Adjusted_R_Squared,HAC_Maxlags
BTC,2022,2022-01-01,2022-12-31,365,Lagged_US10Y_Change_Aligned,-0.011917511774828807,0.023506054935481288,-0.5069975292553189,0.6124695650820206,-0.05814525290248149,0.03431022935282388,Negative,,False,0.016670405320062143,-0.00261056712464236,7
BTC,2023,2023-01-01,2023-12-31,365,const,-0.19526298303094564,0.11508576002472704,-1.6966737065384276,0.09063001710645013,-0.42159422987372047,0.0310682638118292,Negative,*,False,0.10655664418163635,0.08903814700872736,7
BTC,2023,2023-01-01,2023-12-31,365,BTC_Lagged_Return,-0.291878580725294,0.15149764165186141,-1.9266212829637652,0.05482036002314461,-0.5898185701856626,0.006061408735074714,Negative,*,False,0.10655664418163635,0.08903814700872736,7
BTC,2023,2023-01-01,2023-12-31,365,Lagged_Log_BTC_Volume,0.008439793039054753,0.004917065316389122,1.7164289054538264,0.08695101194436353,-0.0012302610460605684,0.018109847124170075,Positive,*,False,0.10655664418163635,0.08903814700872736,7
BTC,2023,2023-01-01,2023-12-31,365,Lagged_SP500_Return_Aligned,-0.2552318702884012,0.19935029362043336,-1.2803185069512233,0.20126438996982843,-0.6472803783218168,0.13681663774501446,Negative,,False,0.10655664418163635,0.08903814700872736,7
BTC,2023,2023-01-01,2023-12-31,365,Lagged_VIX_Change_Aligned,-0.0006961705175135133,0.0020985333858847036,-0.33174145438721264,0.7402791619966598,-0.00482321175759765,0.003430870722570624,Negative,,False,0.10655664418163635,0.08903814700872736,7
BTC,2023,2023-01-01,2023-12-31,365,Lagged_Gold_Return_Aligned,0.38305378072376756,0.21053728319232914,1.8194106759411437,0.06968628494232844,-0.030995410084652453,0.7971029715321876,Positive,*,False,0.10655664418163635,0.08903814700872736,7
BTC,2023,2023-01-01,2023-12-31,365,Lagged_DXY_Return_Aligned,-0.5663440706766765,0.29800646055707686,-1.9004422575872486,0.05818043484473125,-1.1524128751108103,0.019724733757457313,Negative,*,False,0.10655664418163635,0.08903814700872736,7
BTC,2023,2023-01-01,2023-12-31,365,Lagged_US10Y_Change_Aligned,-0.008756999020918031,0.021868515251500863,-0.40043866354013347,0.6890729727598225,-0.051764303507667614,0.03425030546583155,Negative,,False,0.10655664418163635,0.08903814700872736,7
BTC,2024,2024-01-01,2024-12-31,366,const,-0.06715915117000786,0.06566355807846846,-1.0227766075324787,0.3071041006679094,-0.1962939265190639,0.061975624179048186,Negative,,False,0.00805465430992347,-0.011340925075078001,7
BTC,2024,2024-01-01,2024-12-31,366,BTC_Lagged_Return,-0.024829100295380276,0.05644070416595869,-0.43991478600927075,0.660264283898459,-0.1358260956806112,0.08616789508985065,Negative,,False,0.00805465430992347,-0.011340925075078001,7
