Asset,Window_Start,Window_End,N,R_Squared,Adjusted_R_Squared,HAC_Maxlags
BTC,2022-07-20,2023-07-19,365,0.020158085962669325,0.0009454994129177718,7
BTC,2022-07-27,2023-07-26,365,0.018880759477435727,-0.0003568726896732155,7
BTC,2022-08-03,2023-08-02,365,0.0710718560015553,0.05285757866825258,7
BTC,2022-08-10,2023-08-09,365,0.07028152173801006,0.05205174765444165,7
BTC,2022-08-17,2023-08-16,365,0.06980794987910477,0.051568890072812734,7
BTC,2022-08-24,2023-08-23,365,0.07154578357560215,0.05334079893982968,7
BTC,2022-08-31,2023-08-30,365,0.07423937458762331,0.0560872054618905,7
BTC,2022-09-07,2023-09-06,365,0.07425854630908979,0.05610675309946411,7
BTC,2022-09-14,2023-09-13,365,0.07520630383096316,0.05707309410215855,7
BTC,2022-09-21,2023-09-20,365,0.07886889183708157,0.06080749755937731,7
BTC,2022-09-28,2023-09-27,365,0.07771169392628674,0.0596276094934689,7
BTC,2022-10-05,2023-10-04,365,0.07738184160461536,0.05929128947921569,7
BTC,2022-10-12,2023-10-11,365,0.07743673749960689,0.05934726176430516,7
BTC,2022-10-19,2023-10-18,365,0.07729603913931604,0.05920380461263608,7
BTC,2022-10-26,2023-10-25,365,0.07286534631167685,0.05468623545504314,7
BTC,2022-11-02,2023-11-01,365,0.07402041005840776,0.055863947510533474,7
BTC,2022-11-09,2023-11-08,365,0.08058180523323377,0.06255399749270896,7
BTC,2022-11-16,2023-11-15,365,0.10468893499576581,0.08713381607411419,7
BTC,2022-11-23,2023-11-22,365,0.107190920455153,0.08968486007192078,7
BTC,2022-11-30,2023-11-29,365,0.10804303522770664,0.09055368297726962,7
BTC,2022-12-07,2023-12-06,365,0.10454600098352718,0.08698807943418463,7
BTC,2022-12-14,2023-12-13,365,0.10659647516550497,0.08907875899227968,7
BTC,2022-12-21,2023-12-20,365,0.10798301944268185,0.09049249041214624,7
BTC,2022-12-28,2023-12-27,365,0.107262738216794,0.08975808602496649,7
BTC,2023-01-04,2024-01-03,365,0.10546484304569959,0.08792493800738,7
BTC,2023-01-11,2024-01-10,365,0.10772307267621961,0.09022744665026317,7
BTC,2023-01-18,2024-01-17,365,0.10763192881222372,0.09013451565167918,7
BTC,2023-01-25,2024-01-24,365,0.1078274049801281,0.0903338246856209,7
BTC,2023-02-01,2024-01-31,365,0.1040414060199163,0.08647359045167946,7
BTC,2023-02-08,2024-02-07,365,0.10389201171701001,0.0863212668487161,7
BTC,2023-02-15,2024-02-14,365,0.1058566848823842,0.08832446301733299,7
BTC,2023-02-22,2024-02-21,365,0.1126515190596804,0.0952525292373213,7
BTC,2023-03-01,2024-02-28,365,0.11237849068766859,0.09497414736781906,7
BTC,2023-03-08,2024-03-06,365,0.11793219386904596,0.10063674669000766,7
BTC,2023-03-15,2024-03-13,365,0.12996129127993494,0.11290170875601213,7
BTC,2023-03-22,2024-03-20,365,0.12476794584964357,0.10760653302316603,7
BTC,2023-03-29,2024-03-27,365,0.11747290406251554,0.10016845120099627,7
BTC,2023-04-05,2024-04-03,365,0.11360769697566941,0.09622745573989833,7
BTC,2023-04-12,2024-04-10,365,0.11670117522344725,0.09938159042390704,7
BTC,2023-04-19,2024-04-17,365,0.10595720728608482,0.08842695644855714,7
BTC,2023-04-26,2024-04-24,365,0.11213064971553943,0.09472144676878536,7
BTC,2023-05-03,2024-05-01,365,0.10482964352038726,0.08727728358941456,7
BTC,2023-05-10,2024-05-08,365,0.10168036830064642,0.08406625787516897,7
BTC,2023-05-17,2024-05-15,365,0.10596517109464076,0.08843507641022197,7
BTC,2023-05-24,2024-05-22,365,0.10575266580850307,0.08821840435376793,7
BTC,2023-05-31,2024-05-29,365,0.1061412634095601,0.08861462151562993,7
BTC,2023-06-07,2024-06-05,365,0.10324428403732566,0.08566083862629292,7
BTC,2023-06-14,2024-06-12,365,0.10179049174733001,0.08417854060512087,7
BTC,2023-06-21,2024-06-19,365,0.10224991916030379,0.08464697639874119,7
BTC,2023-06-28,2024-06-26,365,0.10946160578125375,0.09200006863970978,7
BTC,2023-07-05,2024-07-03,365,0.10653756946245452,0.08901869827544384,7
BTC,2023-07-12,2024-07-10,365,0.10348682417463229,0.08590813445256629,7
BTC,2023-07-19,2024-07-17,365,0.09789927453651459,0.08021102501762278,7
BTC,2023-07-26,2024-07-24,365,0.09618306635043294,0.07846116569063755,7
BTC,2023-08-02,2024-07-31,365,0.017951414030991653,-0.0013044405958515526,7
BTC,2023-08-09,2024-08-07,365,0.004406326032835195,-0.015115118554756224,7
BTC,2023-08-16,2024-08-14,365,0.0031140875262888335,-0.016432695071234793,7
BTC,2023-08-23,2024-08-21,365,0.004601314337396301,-0.014916306950105707,7
BTC,2023-08-30,2024-08-28,365,0.003358343438070621,-0.01618364982784959,7
BTC,2023-09-06,2024-09-04,365,0.0038248717300460866,-0.01570797392230583,7
BTC,2023-09-13,2024-09-11,365,0.0037210405201216767,-0.015813841038307297,7
BTC,2023-09-20,2024-09-18,365,0.003441206784459361,-0.01609916170996284,7
BTC,2023-09-27,2024-09-25,365,0.004181789561186422,-0.015344057702319613,7
BTC,2023-10-04,2024-10-02,365,0.003515588140040271,-0.01602332189642941,7
BTC,2023-10-11,2024-10-09,365,0.004149557377896906,-0.015376921889203032,7
BTC,2023-10-18,2024-10-16,365,0.0032728199894174193,-0.01627085020686847,7
BTC,2023-10-25,2024-10-23,365,0.005424539042351406,-0.014076940584269115,7
BTC,2023-11-01,2024-10-30,365,0.00629103367662498,-0.013193455859127345,7
BTC,2023-11-08,2024-11-06,365,0.004699016587001781,-0.014816688970115788,7
BTC,2023-11-15,2024-11-13,365,0.005695048241829093,-0.013801127282840886,7
BTC,2023-11-22,2024-11-20,365,0.007060569002210637,-0.012408831605589032,7
BTC,2023-11-29,2024-11-27,365,0.009373974425255338,-0.010050065291896448,7
BTC,2023-12-06,2024-12-04,365,0.012408517751609671,-0.006956021116005795,7
BTC,2023-12-13,2024-12-11,365,0.012804702410048385,-0.00655206813093101,7
BTC,2023-12-20,2024-12-18,365,0.011413264943405554,-0.007970788685154995,7
BTC,2023-12-27,2024-12-25,365,0.009014000510005116,-0.010417097519210383,7
BTC,2024-01-03,2025-01-01,365,0.009165283975197891,-0.010262847711562939,7
BTC,2024-01-10,2025-01-08,365,0.010283857004971919,-0.009122341877283446,7
BTC,2024-01-17,2025-01-15,365,0.009957592226794376,-0.009455004004052636,7
BTC,2024-01-24,2025-01-22,365,0.009167493626033751,-0.010260594734240014,7
BTC,2024-01-31,2025-01-29,365,0.012326300789117117,-0.007039850175801998,7
BTC,2024-02-07,2025-02-05,365,0.01285555856935483,-0.006500214792030334,7
BTC,2024-02-14,2025-02-12,365,0.01407051833917683,-0.005261432281623568,7
BTC,2024-02-21,2025-02-19,365,0.014198562747673726,-0.005130877198450179,7
BTC,2024-02-28,2025-02-26,365,0.020934659115019683,0.0017372994898240401,7
BTC,2024-03-06,2025-03-05,365,0.022160073443183825,0.0029867415499129635,7
BTC,2024-03-13,2025-03-12,365,0.020001543044427583,0.0007858870256909345,7
BTC,2024-03-20,2025-03-19,365,0.022483778671596566,0.0033167939396671065,7
BTC,2024-03-27,2025-03-26,365,0.023764421283856585,0.0046225471913832195,7
BTC,2024-04-03,2025-04-02,365,0.028309730757098195,0.009256980379786506,7
BTC,2024-04-10,2025-04-09,365,0.027718076258749114,0.008653724812842323,7
BTC,2024-04-17,2025-04-16,365,0.03210257798373084,0.013124197159882445,7
BTC,2024-04-24,2025-04-23,365,0.03765122976260282,0.0187816460324578,7
BTC,2024-05-01,2025-04-30,365,0.035804940234587246,0.016899154748990952,7
BTC,2024-05-08,2025-05-07,365,0.040052462877259276,0.021229962149362458,7
BTC,2024-05-15,2025-05-14,365,0.03464204240412683,0.015713455000286203,7
BTC,2024-05-22,2025-05-21,365,0.03450821792920977,0.01557700651605709,7
BTC,2024-05-29,2025-05-28,365,0.037514753010542745,0.018642493265651483,7
BTC,2024-06-05,2025-06-04,365,0.040703905302728605,0.02189417795572335,7
BTC,2024-06-12,2025-06-11,365,0.04602174434104145,0.02731628834772859,7
BTC,2024-06-19,2025-06-18,365,0.046605339614873564,0.027911326666145708,7
BTC,2024-06-26,2025-06-25,365,0.04119677438907865,0.022396711141805747,7
BTC,2024-07-03,2025-07-02,365,0.04203582350484614,0.023252212201019695,7
BTC,2024-07-10,2025-07-09,365,0.038569162530740275,0.0197175774823235,7
BTC,2024-07-17,2025-07-16,365,0.0432821807806788,0.024523007854809875,7
BTC,2024-07-24,2025-07-23,365,0.04193823407772579,0.02315270925572044,7
BTC,2024-07-31,2025-07-30,365,0.04349803446934153,0.024743093968740415,7
BTC,2024-08-07,2025-08-06,365,0.029049899178854255,0.01001166190785141,7
BTC,2024-08-14,2025-08-13,365,0.024274856333638906,0.005142990771553446,7
BTC,2024-08-21,2025-08-20,365,0.018764610934535297,-0.00047529865498363577,7
BTC,2024-08-28,2025-08-27,365,0.021013652843652753,0.001817842115096946,7
BTC,2024-09-04,2025-09-03,365,0.02191608151748825,0.002737965468811665,7
BTC,2024-09-11,2025-09-10,365,0.022790917329378213,0.003629954924071921,7
BTC,2024-09-18,2025-09-17,365,0.021591104624063107,0.0024066164794369627,7
BTC,2024-09-25,2025-09-24,365,0.02058910215234766,0.0013849669004329934,7
BTC,2024-10-02,2025-10-01,365,0.02107027205050105,0.0018755715024717512,7
BTC,2024-10-09,2025-10-08,365,0.018897065308925654,-0.0003402471359972292,7
BTC,2024-10-16,2025-10-15,365,0.01675407091835246,-0.002525261024424852,7
BTC,2024-10-23,2025-10-22,365,0.015673429644728176,-0.003627091342629951,7
BTC,2024-10-30,2025-10-29,365,0.0163915623443025,-0.0028948776097306173,7
BTC,2024-11-06,2025-11-05,365,0.01607563788556099,-0.0032169966657025206,7
BTC,2024-11-13,2025-11-12,365,0.03196717740768973,0.01298614167058565,7
BTC,2024-11-20,2025-11-19,365,0.02828718157420662,0.009233989056053882,7
BTC,2024-11-27,2025-11-26,365,0.029267307330706926,0.010233332964642461,7
BTC,2024-12-04,2025-12-03,365,0.02774219698836622,0.008678318497942095,7
BTC,2024-12-11,2025-12-10,365,0.02773497347387177,0.008670953345908505,7
BTC,2024-12-18,2025-12-17,365,0.0242398230235773,0.005107270533843633,7
BTC,2024-12-25,2025-12-24,365,0.025405176060972923,0.006295473630795967,7
BTC,2025-01-01,2025-12-31,365,0.027004896494607356,0.007926561131756604,7
ETH,2021-01-06,2022-01-05,365,0.02857292701051184,0.009525337344051366,7
ETH,2021-01-13,2022-01-12,365,0.03379626076602682,0.014851089408497997,7
ETH,2021-01-20,2022-01-19,365,0.03665629393044301,0.017767201654569353,7
ETH,2021-01-27,2022-01-26,365,0.04259269427572143,0.023820002006618046,7
ETH,2021-02-03,2022-02-02,365,0.039389697302286364,0.02055420117095874,7
ETH,2021-02-10,2022-02-09,365,0.02952446356641214,0.010495531479479125,7
ETH,2021-02-17,2022-02-16,365,0.029603038471676224,0.010575647069160143,7
ETH,2021-02-24,2022-02-23,365,0.032893440968769005,0.013930567262274374,7
ETH,2021-03-03,2022-03-02,365,0.025061880054132457,0.00594544632970373,7
ETH,2021-03-10,2022-03-09,365,0.018463230623883997,-0.0007825883834906566,7
ETH,2021-03-17,2022-03-16,365,0.018253364747061407,-0.0009965692775060209,7
ETH,2021-03-24,2022-03-23,365,0.019508269724690774,0.0002829416800769202,7
ETH,2021-03-31,2022-03-30,365,0.01741430043328185,-0.0018520858327322198,7
ETH,2021-04-07,2022-04-06,365,0.017622938226790064,-0.0016393571020962838,7
ETH,2021-04-14,2022-04-13,365,0.017732140853648493,-0.0015280132472603736,7
ETH,2021-04-21,2022-04-20,365,0.023712334469078722,0.004569439066511749,7
ETH,2021-04-28,2022-04-27,365,0.025660902239965755,0.006556214048592635,7
