Asset,Window_Start,Window_End,N,Variable,Coefficient,HAC_SE,T_Statistic,P_Value,CI_95_Lower,CI_95_Upper,Sign,Significance,Significant_5pct,R_Squared,Adjusted_R_Squared,HAC_Maxlags
BTC,2023-06-28,2024-06-26,365,BTC_Lagged_Return,-0.3180150257871077,0.12773924019092306,-2.4895640941013313,0.013244501747885353,-0.5692310015685466,-0.06679905000566888,Negative,**,True,0.10946160578125375,0.09200006863970978,7
BTC,2023-06-28,2024-06-26,365,Lagged_Log_BTC_Volume,0.0019344023840861357,0.00334897827461569,0.5776097142069747,0.5638917564262096,-0.004651802793515998,0.00852060756168827,Positive,,False,0.10946160578125375,0.09200006863970978,7
BTC,2023-06-28,2024-06-26,365,Lagged_SP500_Return_Aligned,-0.23193810990422967,0.2793725629551946,-0.8302107674812276,0.406974460261751,-0.7813609098555461,0.3174846900470867,Negative,,False,0.10946160578125375,0.09200006863970978,7
BTC,2023-06-28,2024-06-26,365,Lagged_VIX_Change_Aligned,-0.0022503338531705717,0.002685085801004972,-0.8380863852947711,0.40254294162633086,-0.007530907375826313,0.0030302396694851692,Negative,,False,0.10946160578125375,0.09200006863970978,7
BTC,2023-06-28,2024-06-26,365,Lagged_Gold_Return_Aligned,0.12110919911688638,0.17807708304341238,0.6800942437234434,0.4968855694941934,-0.22910274917871665,0.4713211474124894,Positive,,False,0.10946160578125375,0.09200006863970978,7
BTC,2023-06-28,2024-06-26,365,Lagged_DXY_Return_Aligned,-0.49025557270945047,0.38447336911919794,-1.2751353203801665,0.2030905502834951,-1.2463728976668904,0.2658617522479894,Negative,,False,0.10946160578125375,0.09200006863970978,7
BTC,2023-06-28,2024-06-26,365,Lagged_US10Y_Change_Aligned,-0.02486208922698257,0.024851010831069713,-1.0004457925670776,0.31777243446342335,-0.07373486258739512,0.024010684133429973,Negative,,False,0.10946160578125375,0.09200006863970978,7
BTC,2023-07-05,2024-07-03,365,const,-0.043252343191783366,0.0797809448803389,-0.5421387683068467,0.5880611408485872,-0.20015203890724056,0.11364735252367383,Negative,,False,0.10653756946245452,0.08901869827544384,7
BTC,2023-07-05,2024-07-03,365,BTC_Lagged_Return,-0.31467331030924284,0.1290294812682743,-2.4387706376574774,0.01522400393629631,-0.5684267144545552,-0.06091990616393056,Negative,**,True,0.10653756946245452,0.08901869827544384,7
BTC,2023-07-05,2024-07-03,365,Lagged_Log_BTC_Volume,0.001926995461166636,0.0033781172684628773,0.5704347445710386,0.5687417113555073,-0.004716515370999198,0.00857050629333247,Positive,,False,0.10653756946245452,0.08901869827544384,7
BTC,2023-07-05,2024-07-03,365,Lagged_SP500_Return_Aligned,-0.28983004663784584,0.2941487347690086,-0.9853180122139428,0.32513519087491444,-0.8683121271592783,0.2886520338835866,Negative,,False,0.10653756946245452,0.08901869827544384,7
BTC,2023-07-05,2024-07-03,365,Lagged_VIX_Change_Aligned,-0.002542585041604037,0.0027564053598148246,-0.9224278397771103,0.35692842649604906,-0.00796341783409683,0.002878247750888757,Negative,,False,0.10653756946245452,0.08901869827544384,7
BTC,2023-07-05,2024-07-03,365,Lagged_Gold_Return_Aligned,0.12313199984800441,0.17654491184312887,0.6974542543452901,0.4859725163488279,-0.22406673275469055,0.47033073245069934,Positive,,False,0.10653756946245452,0.08901869827544384,7
