Date,ETH_Volume
2022-02-23,21849073843
2022-02-24,46383802093
2022-02-25,26545599159
2022-02-26,17467554129
2022-02-27,23450127612
2022-02-28,35690014104
2022-03-01,32479047645
2022-03-02,29183112630
2022-03-03,24967782593
2022-03-04,28516271427
2022-03-05,16975917450
2022-03-06,19745229902
2022-03-07,28546143503
2022-03-08,25776583476
2022-03-09,32284121034
2022-03-10,31078064711
2022-03-11,26364890465
2022-03-12,14616450657
2022-03-13,17300745310
2022-03-14,24322159070
2022-03-15,23934000868
2022-03-16,39616916192
2022-03-17,22009601093
2022-03-18,34421564942
2022-03-19,19664853187
2022-03-20,20127946682
2022-03-21,24615543271
2022-03-22,32004652376
2022-03-23,25242943069
2022-03-24,31042992291
2022-03-25,30574413034
2022-03-26,16950455995
2022-03-27,28160889722
2022-03-28,36362175703
2022-03-29,31397059069
2022-03-30,29333883962
2022-03-31,33327427106
2022-04-01,38162644287
2022-04-02,29336594194
2022-04-03,25414397610
2022-04-04,32499785455
2022-04-05,29640604055
2022-04-06,39393395788
2022-04-07,26101973106
2022-04-08,27215995394
2022-04-09,16050772496
2022-04-10,17654475582
2022-04-11,33949912166
2022-04-12,30991500854
2022-04-13,27691105228
2022-04-14,24342001973
2022-04-15,21756855753
2022-04-16,16833150693
2022-04-17,19087633042
2022-04-18,33705182072
2022-04-19,25303206547
2022-04-20,27819532341
2022-04-21,35372786395
2022-04-22,28011716745
2022-04-23,16138021249
2022-04-24,17964398167
2022-04-25,35445730570
2022-04-26,34569088416
2022-04-27,30981015184
2022-04-28,33903704907
2022-04-29,30882994649
2022-04-30,23895713731
2022-05-01,27002760110
2022-05-02,32922642426
2022-05-03,27326943244
2022-05-04,36754404490
2022-05-05,43106256317
2022-05-06,37795577489
2022-05-07,24375896406
2022-05-08,36763041910
2022-05-09,63355494961
2022-05-10,59811038817
2022-05-11,70388855818
2022-05-12,66989173272
2022-05-13,42841124537
2022-05-14,28579868620
2022-05-15,25835372065
2022-05-16,32613897286
2022-05-17,29101473475
2022-05-18,31285268319
2022-05-19,33773447707
2022-05-20,30749382605
2022-05-21,17274840442
2022-05-22,21631532270
2022-05-23,31483454557
2022-05-24,26616506245
2022-05-25,27525063551
2022-05-26,36774325352
2022-05-27,36582005748
2022-05-28,35519577634
2022-05-29,18093886409
2022-05-30,39277993274
2022-05-31,33538210634
2022-06-01,41135817341
2022-06-02,29083562061
2022-06-03,26175547452
2022-06-04,16588370958
2022-06-05,17264085441
2022-06-06,31947336829
2022-06-07,40770974039
2022-06-08,30242059107
2022-06-09,21692004719
2022-06-10,29867476527
2022-06-11,27246574439
2022-06-12,34163220274
2022-06-13,68204556440
2022-06-14,50913575242
2022-06-15,54912007015
2022-06-16,31183975654
2022-06-17,27132421514
2022-06-18,42009436760
2022-06-19,35329942625
2022-06-20,30818458597
2022-06-21,28970212744
2022-06-22,28574793478
2022-06-23,26188097173
2022-06-24,24957784918
2022-06-25,18372538715
2022-06-26,18027170497
2022-06-27,20965695707
2022-06-28,21381535161
2022-06-29,23552740328
2022-06-30,26267239923
2022-07-01,30767551159
2022-07-02,18100418740
2022-07-03,16390821947
2022-07-04,21594638208
2022-07-05,26715546990
2022-07-06,24598943708
2022-07-07,25814972520
2022-07-08,49899834488
2022-07-09,29641127858
