Asset,Lag_Days,Information_Horizon,Specification,Model,Variable,Coefficient,HAC_Std_Error,z_statistic,p_value,CI_95_Lower,CI_95_Upper
BTC,3,t-3,Robustness,Baseline,VIX_Aligned_Lag_3,-0.0003446082717277889,0.0007012907845841506,-0.4913914160901654,0.6231496342729173,-0.0017191129522025614,0.0010298964087469837
BTC,3,t-3,Robustness,Baseline,Gold_Aligned_Lag_3,-0.08549233166444611,0.09137165976667194,-0.9356547958388918,0.34945095195720177,-0.2645774940147706,0.09359283068587837
BTC,3,t-3,Robustness,Baseline,DXY_Aligned_Lag_3,0.13897129601614375,0.2634993978567356,0.5274065031894393,0.5979113284331493,-0.3774780337310487,0.6554206257633363
BTC,3,t-3,Robustness,Baseline,US10Y_Aligned_Lag_3,-0.03175629848439172,0.017259644102683557,-1.8399161822493317,0.06578054385510332,-0.06558457931163064,0.002071982342847188
BTC,3,t-3,Robustness,Cross_Crypto,const,0.04472545926302231,0.029638853112191187,1.5090145051741435,0.13129507600717766,-0.01336562537994531,0.10281654390598993
BTC,3,t-3,Robustness,Cross_Crypto,BTC_Return_Lag_3,0.028394594959957695,0.029175127129682333,0.9732466574608158,0.33043072689909314,-0.028787603458597117,0.08557679337851251
BTC,3,t-3,Robustness,Cross_Crypto,ETH_Return_Lag_3,-0.039721720246170024,0.03373371816562187,-1.17750791807618,0.2389928390220427,-0.10583859291541348,0.02639515242307342
BTC,3,t-3,Robustness,Cross_Crypto,Log_BTC_Volume_Lag_3,-0.001823912435883194,0.0012303302845170082,-1.482457563498251,0.1382185871450605,-0.004235315482625447,0.0005874906108590597
BTC,3,t-3,Robustness,Cross_Crypto,SP500_Aligned_Lag_3,0.0017164806032642656,0.11693727516566496,0.014678643750100459,0.9882885573427258,-0.22747636717168915,0.23090932837821768
BTC,3,t-3,Robustness,Cross_Crypto,VIX_Aligned_Lag_3,-0.0003954782233909306,0.0007037215320685469,-0.5619811322646988,0.5741288742696435,-0.0017747470813906313,0.00098379063460877
BTC,3,t-3,Robustness,Cross_Crypto,Gold_Aligned_Lag_3,-0.08814807342515413,0.09121813858962373,-0.966343698611508,0.33387222655881055,-0.2669323397975999,0.09063619294729167
BTC,3,t-3,Robustness,Cross_Crypto,DXY_Aligned_Lag_3,0.13435180470360633,0.26273970918904316,0.5113494458766383,0.6091063874651533,-0.38060856261544573,0.6493121720226583
BTC,3,t-3,Robustness,Cross_Crypto,US10Y_Aligned_Lag_3,-0.03242804112128802,0.0172542617297375,-1.8794221178063333,0.060186878622459715,-0.06624577269140129,0.0013896904488252537
ETH,3,t-3,Robustness,Baseline,const,0.03941047512178328,0.031014530671208893,1.270710027489419,0.20383182692533575,-0.021376887991199023,0.10019783823476558
