Asset,Lag_Days,Specification,Model,Variable,Coefficient,HAC_Std_Error,z_statistic,p_value,CI_95_Lower,CI_95_Upper
ETH,1,Primary,Baseline,DXY_Aligned_Lag_1,0.27656472023541123,0.3180440618252575,0.8695798898058464,0.38453003170384303,-0.3467901864389238,0.8999196269097463
ETH,1,Primary,Baseline,US10Y_Aligned_Lag_1,-0.012510779654281382,0.016998121613782682,-0.7360095390856126,0.46172489258485694,-0.0458264858221273,0.020804926513564536
ETH,1,Primary,Cross_Crypto,const,-0.007232368358392224,0.03234381531339864,-0.2236090049461842,0.8230615561521826,-0.07062508149526864,0.056160344778484195
ETH,1,Primary,Cross_Crypto,ETH_Return_Lag_1,-0.06571270511246642,0.04772154809472666,-1.3770027950901247,0.16851138367644514,-0.1592452206646267,0.027819810439693865
ETH,1,Primary,Cross_Crypto,BTC_Return_Lag_1,0.00890516739325103,0.046375604223065456,0.1920226710237004,0.8477244469637989,-0.0819893466452409,0.09979968143174296
ETH,1,Primary,Cross_Crypto,Log_ETH_Volume_Lag_1,0.00032843597258290735,0.0013986620451058587,0.23482153800638056,0.8143472501801868,-0.0024128912623677125,0.003069763207533527
ETH,1,Primary,Cross_Crypto,SP500_Aligned_Lag_1,0.04927242864626494,0.17596448537603082,0.28001348420376554,0.7794671596571172,-0.2956116252488805,0.39415648254141034
ETH,1,Primary,Cross_Crypto,VIX_Aligned_Lag_1,-0.0004594775491590751,0.0009812436755999691,-0.4682603929937519,0.6395983885255527,-0.0023826798133927186,0.0014637247150745686
ETH,1,Primary,Cross_Crypto,Gold_Aligned_Lag_1,0.08271385878388839,0.11528373187098506,0.7174807532814267,0.473077508065221,-0.14323810368661472,0.3086658212543915
ETH,1,Primary,Cross_Crypto,DXY_Aligned_Lag_1,0.27729761424624266,0.31775204066947355,0.8726855495939626,0.38283449619095156,-0.34548494148003206,0.9000801699725174
ETH,1,Primary,Cross_Crypto,US10Y_Aligned_Lag_1,-0.012643775671395355,0.01697271929461107,-0.7449469617640954,0.45630378372634794,-0.045909694208541116,0.02062214286575041
BTC,2,Robustness,Baseline,const,0.03920307737634174,0.031262246953331484,1.254007027545537,0.2098394511193995,-0.022069800727985,0.10047595548066848
BTC,2,Robustness,Baseline,BTC_Return_Lag_2,0.02397596892627584,0.03687777509868205,0.6501468394478251,0.515597375972531,-0.048303142097109016,0.0962550799496607
BTC,2,Robustness,Baseline,Log_BTC_Volume_Lag_2,-0.0016006275626559705,0.001294453322524466,-1.23652783364517,0.2162624262366566,-0.004137709454472134,0.0009364543291601934
BTC,2,Robustness,Baseline,SP500_Aligned_Lag_2,0.07804673876088875,0.13282743344366413,0.58757996550457,0.556814261772345,-0.18229024694758406,0.33838372446936155
BTC,2,Robustness,Baseline,VIX_Aligned_Lag_2,-0.0001424889783751748,0.0007149045197260232,-0.19931190032171237,0.8420187708151335,-0.001543676089423085,0.0012586981326727354
BTC,2,Robustness,Baseline,Gold_Aligned_Lag_2,-0.04528618866230011,0.09207232538964859,-0.4918545118812813,0.6228221971661703,-0.22574463039886414,0.13517225307426392
BTC,2,Robustness,Baseline,DXY_Aligned_Lag_2,0.11559478377508628,0.24984456940699687,0.4626667853916102,0.6436032295914281,-0.3740915739955454,0.605281141545718
BTC,2,Robustness,Baseline,US10Y_Aligned_Lag_2,-0.02697854327990448,0.01394121005245673,-1.9351651096563385,0.052970037754573235,-0.05430281288362743,0.00034572632381846963
BTC,2,Robustness,Cross_Crypto,const,0.040747480395424356,0.031067503797082112,1.3115788336767307,0.1896622785681752,-0.020143708136417957,0.10163866892726667
BTC,2,Robustness,Cross_Crypto,BTC_Return_Lag_2,0.06286823961674877,0.03701024249078052,1.698671378130247,0.08938111921011134,-0.009670502724275026,0.13540698195777257
BTC,2,Robustness,Cross_Crypto,ETH_Return_Lag_2,-0.04273758375042508,0.04184821195676725,-1.021252324820392,0.3071349076168003,-0.12475857200308735,0.03928340450223719
BTC,2,Robustness,Cross_Crypto,Log_BTC_Volume_Lag_2,-0.0016646924641473188,0.0012863002350243645,-1.29417100208785,0.19560636069590598,-0.00418579459810048,0.0008564096698058426
BTC,2,Robustness,Cross_Crypto,SP500_Aligned_Lag_2,0.09068440756504934,0.1337383960044999,0.6780730910066999,0.497725351284535,-0.17143803195392596,0.35280684708402466
BTC,2,Robustness,Cross_Crypto,VIX_Aligned_Lag_2,-0.00019638714590599775,0.0007244012056875106,-0.2711027319724182,0.7863120204271608,-0.0016161874194109101,0.0012234131275989147
BTC,2,Robustness,Cross_Crypto,Gold_Aligned_Lag_2,-0.04775342181119048,0.09106290744042957,-0.524400364027793,0.6000001033900522,-0.22623344072193696,0.13072659709955597
BTC,2,Robustness,Cross_Crypto,DXY_Aligned_Lag_2,0.11057492734279185,0.25027640452407024,0.44181123487474966,0.6586258079665683,-0.3799578117045633,0.601107666390147
BTC,2,Robustness,Cross_Crypto,US10Y_Aligned_Lag_2,-0.027695876851277855,0.013802907569704755,-2.0065248362646444,0.04480028164986169,-0.054749078569834464,-0.0006426751327212495
ETH,2,Robustness,Baseline,const,-0.0055781842710068376,0.03147135190912223,-0.17724641404394054,0.8593148396402834,-0.06726090055767228,0.05610453201565861
ETH,2,Robustness,Baseline,ETH_Return_Lag_2,0.01667853286685995,0.05145656068747813,0.3241284035316151,0.7458408238272682,-0.08417447284889679,0.1175315385826167
ETH,2,Robustness,Baseline,Log_ETH_Volume_Lag_2,0.0002579159193231522,0.0013512859640614802,0.19086701570402584,0.8486297827126662,-0.0023905559030518346,0.0029063877416981394
ETH,2,Robustness,Baseline,SP500_Aligned_Lag_2,0.109074625302523,0.17399817902030634,0.6268722231270795,0.5307429963474766,-0.23195553895283028,0.45010478955787625
ETH,2,Robustness,Baseline,VIX_Aligned_Lag_2,-0.00018082200704831714,0.0010968914630289344,-0.1648494980068482,0.8690624431858651,-0.002330689769534477,0.001969045755437843
ETH,2,Robustness,Baseline,Gold_Aligned_Lag_2,0.010108293638378774,0.12206009500123306,0.08281407316843936,0.9339993787972056,-0.22912509651357552,0.24934168379033309
ETH,2,Robustness,Baseline,DXY_Aligned_Lag_2,0.2075023489655798,0.3311058460744199,0.6266949116897841,0.5308592398959036,-0.44145318441094594,0.8564578823421056
ETH,2,Robustness,Baseline,US10Y_Aligned_Lag_2,-0.031036470190000782,0.01715631651785049,-1.8090404287953377,0.07044472270203601,-0.06466223267235738,0.002589292292355806
ETH,2,Robustness,Cross_Crypto,const,-0.008305822368297678,0.0315127011513366,-0.2635706259647434,0.7921107954221335,-0.07006958168049131,0.05345793694389596
ETH,2,Robustness,Cross_Crypto,ETH_Return_Lag_2,-0.023066934017568437,0.05931376889908014,-0.3888967847721133,0.6973525007061812,-0.13931978484709748,0.09318591681196062
ETH,2,Robustness,Cross_Crypto,BTC_Return_Lag_2,0.06561858909741723,0.04978882249868777,1.317938159697323,0.18752435016799895,-0.03196570983266833,0.1632028880275028
ETH,2,Robustness,Cross_Crypto,Log_ETH_Volume_Lag_2,0.0003738732255126263,0.001353165442551237,0.27629528050001895,0.7823212805064303,-0.0022782823070120017,0.003026028758037254
ETH,2,Robustness,Cross_Crypto,SP500_Aligned_Lag_2,0.09758737468162562,0.17455328024307754,0.5590692683960361,0.5761144472663366,-0.2445307679781333,0.4397055173413845
ETH,2,Robustness,Cross_Crypto,VIX_Aligned_Lag_2,-0.00020844340911148218,0.0010999104277378939,-0.18950943990973215,0.8496935571754087,-0.0023642282336977997,0.0019473414154748355
ETH,2,Robustness,Cross_Crypto,Gold_Aligned_Lag_2,0.007067484625077118,0.12192360262063709,0.05796650093310857,0.9537753120231532,-0.23189838537674493,0.24603335462689915
ETH,2,Robustness,Cross_Crypto,DXY_Aligned_Lag_2,0.21293830950946815,0.3320004571117134,0.64137956725107,0.5212761049879953,-0.43777062928032495,0.8636472482992612
ETH,2,Robustness,Cross_Crypto,US10Y_Aligned_Lag_2,-0.03201557892324195,0.017137265601159937,-1.8681847891226577,0.06173631823189647,-0.06560400229501259,0.0015728444485286833
BTC,3,Robustness,Baseline,const,0.049682949050030546,0.029846762014881557,1.6646009716316528,0.09599239139275172,-0.008815629554275443,0.10818152765433653
BTC,3,Robustness,Baseline,BTC_Return_Lag_3,-0.00973133880094932,0.031818644673511184,-0.3058376276174515,0.7597282775833119,-0.07209473639790848,0.05263205879600983
BTC,3,Robustness,Baseline,Log_BTC_Volume_Lag_3,-0.00203313073275054,0.0012389922097439253,-1.640955218895805,0.10080671125988314,-0.00446151084097433,0.00039524937547325
BTC,3,Robustness,Baseline,SP500_Aligned_Lag_3,-0.013298612852470144,0.11554216400811879,-0.11509748814757954,0.908367850841617,-0.23975709300420306,0.21315986729926278
BTC,3,Robustness,Baseline,VIX_Aligned_Lag_3,-0.00032726961703199276,0.0007017801518148864,-0.46634208189792037,0.640970661493292,-0.0017027334396542218,0.0010481942055902361
BTC,3,Robustness,Baseline,Gold_Aligned_Lag_3,-0.05679121104730229,0.090105004124884,-0.6302781027410047,0.5285126470171331,-0.23339377395890792,0.11981135186430336
BTC,3,Robustness,Baseline,DXY_Aligned_Lag_3,0.1449687828883304,0.2637358488962103,0.5496741663867657,0.5825428788699977,-0.37194398238033965,0.6618815481570004
BTC,3,Robustness,Baseline,US10Y_Aligned_Lag_3,-0.03157361928832711,0.017256556060472106,-1.82965935831482,0.06730089172921803,-0.06539584766404884,0.002248609087394618
BTC,3,Robustness,Cross_Crypto,const,0.05080061359160306,0.02970808224722377,1.709993030477435,0.08726716184777673,-0.007426157662709286,0.1090273848459154
BTC,3,Robustness,Cross_Crypto,BTC_Return_Lag_3,0.01838827208702156,0.0319836586678528,0.5749270988032353,0.565340601829982,-0.04429854699579224,0.08107509116983536
BTC,3,Robustness,Cross_Crypto,ETH_Return_Lag_3,-0.030899933569486095,0.03516247335869625,-0.8787758828644526,0.37952280514854986,-0.09981711495987991,0.038017247820907714
BTC,3,Robustness,Cross_Crypto,Log_BTC_Volume_Lag_3,-0.0020794963913983487,0.0012332971471126287,-1.6861276264741432,0.0917712199055268,-0.004496714381975098,0.00033772159917840007
BTC,3,Robustness,Cross_Crypto,SP500_Aligned_Lag_3,-0.004158816684367019,0.11651633787748467,-0.03569299173082455,0.9715271587816479,-0.2325266425347371,0.22420900916600306
BTC,3,Robustness,Cross_Crypto,VIX_Aligned_Lag_3,-0.0003662368572045898,0.0007048220122304398,-0.5196160886712624,0.6033311822454556,-0.0017476626166873011,0.0010151889022781218
BTC,3,Robustness,Cross_Crypto,Gold_Aligned_Lag_3,-0.0585490516513461,0.08976738385291771,-0.6522307896070325,0.5142523002446442,-0.23448989098944722,0.11739178768675501
BTC,3,Robustness,Cross_Crypto,DXY_Aligned_Lag_3,0.1413626304160055,0.2630070336360666,0.5374861214229527,0.5909318690274696,-0.3741216831913996,0.6568469440234106
BTC,3,Robustness,Cross_Crypto,US10Y_Aligned_Lag_3,-0.032091466377196974,0.017261273374687927,-1.8591598476307178,0.06300448428874421,-0.06592294051888548,0.0017400077644915204
ETH,3,Robustness,Baseline,const,0.04416460597369631,0.030725015065150022,1.437415274819188,0.15060003110603898,-0.016055316978448322,0.10438452892584094
ETH,3,Robustness,Baseline,ETH_Return_Lag_3,-0.00906807772042661,0.04708456847979342,-0.19259128867918204,0.8472790678339355,-0.10135213616843157,0.08321598072757834
ETH,3,Robustness,Baseline,Log_ETH_Volume_Lag_3,-0.001859057418657191,0.0013229229453755986,-1.405265079992528,0.15994246814050195,-0.004451938745915014,0.0007338239086006313
ETH,3,Robustness,Baseline,SP500_Aligned_Lag_3,0.023780608973531542,0.1546320064282474,0.15378840075108421,0.8777765798919707,-0.2792925544829995,0.32685377243006253
ETH,3,Robustness,Baseline,VIX_Aligned_Lag_3,-0.00018945682764985076,0.0009532775449788442,-0.19874256836088103,0.8424641234424665,-0.002057846483079147,0.0016789328277794452
ETH,3,Robustness,Baseline,Gold_Aligned_Lag_3,-0.025280887494639536,0.12390604104927844,-0.20403272738401126,0.8383279240596647,-0.2681322654181668,0.21757049042888774
ETH,3,Robustness,Baseline,DXY_Aligned_Lag_3,0.38026793056515423,0.38504396374881256,0.9875961354200737,0.32335047971747777,-0.3744043708470645,1.134940231977373
ETH,3,Robustness,Baseline,US10Y_Aligned_Lag_3,-0.025415675395484102,0.019750883895180264,-1.2868120500514004,0.19815980586880866,-0.06412669649286959,0.013295345701901391
ETH,3,Robustness,Cross_Crypto,const,0.043832042978492816,0.03038380153982509,1.442612206410072,0.14912974289761433,-0.015719113752976993,0.10338319970996263
ETH,3,Robustness,Cross_Crypto,ETH_Return_Lag_3,-0.01391376010929242,0.053890433055645656,-0.25818608833455625,0.7962632939470682,-0.11953706800962471,0.09170954779103987
ETH,3,Robustness,Cross_Crypto,BTC_Return_Lag_3,0.008000082445370302,0.042324323242647996,0.18901855558340125,0.8500782736830912,-0.07495406678025128,0.09095423167099188
ETH,3,Robustness,Cross_Crypto,Log_ETH_Volume_Lag_3,-0.0018449194460171845,0.0013082028369153379,-1.4102701767314552,0.15845992112438412,-0.004408949890844373,0.0007191109988100037
ETH,3,Robustness,Cross_Crypto,SP500_Aligned_Lag_3,0.02238005394171577,0.1543064446513188,0.14503641757988295,0.8846821187033445,-0.28005502015729233,0.3248151280407239
ETH,3,Robustness,Cross_Crypto,VIX_Aligned_Lag_3,-0.00019282440508860372,0.0009518495951552485,-0.20257864905342918,0.8394643795634866,-0.002058415330291922,0.0016727665201147143
ETH,3,Robustness,Cross_Crypto,Gold_Aligned_Lag_3,-0.025652142313365333,0.12409310064480478,-0.2067169099657699,0.836230950392347,-0.26887015030708683,0.21756586568035619
ETH,3,Robustness,Cross_Crypto,DXY_Aligned_Lag_3,0.3809301985609586,0.3853825260398413,0.9884469918119162,0.32293378298222,-0.37440567274819986,1.136266069870117
ETH,3,Robustness,Cross_Crypto,US10Y_Aligned_Lag_3,-0.025535062216947603,0.01976562245760792,-1.2918926419703511,0.19639432623969955,-0.0642749703658752,0.013204845931979993
BTC,7,Robustness,Baseline,const,0.034814683987047915,0.028953072567199565,1.2024521372038721,0.22918839948609848,-0.021932295486437874,0.09156166346053371
BTC,7,Robustness,Baseline,BTC_Return_Lag_7,-0.01411919820060304,0.02461742330301078,-0.5735449249424989,0.5662757901263181,-0.062368461266681226,0.034130064865475145
BTC,7,Robustness,Baseline,Log_BTC_Volume_Lag_7,-0.0014169116010401815,0.0012017009485227358,-1.1790883603628728,0.23836299295565222,-0.003772202180332365,0.0009383789782520021
BTC,7,Robustness,Baseline,SP500_Aligned_Lag_7,-0.05851593838269729,0.12469774677971623,-0.46926219513868306,0.6388822340860589,-0.3029190310242366,0.18588715425884203
BTC,7,Robustness,Baseline,VIX_Aligned_Lag_7,-0.0006286283799005324,0.0007343430843151625,-0.8560418057000998,0.39197465580584645,-0.002067914377454311,0.0008106576176532464
BTC,7,Robustness,Baseline,Gold_Aligned_Lag_7,0.01353766784855103,0.07385187800366788,0.1833083763676081,0.8545560623673224,-0.13120935322928384,0.15828468892638592
BTC,7,Robustness,Baseline,DXY_Aligned_Lag_7,0.02325858635496381,0.21244622665192733,0.10947987507949841,0.9128218831728563,-0.3931283665342471,0.4396455392441747
BTC,7,Robustness,Baseline,US10Y_Aligned_Lag_7,-0.019313973593595518,0.013012250692620306,-1.4842915380157204,0.1377315942445944,-0.0448175163089377,0.006189569121746657
BTC,7,Robustness,Cross_Crypto,const,0.03556486750949727,0.028984032142910215,1.227050374983689,0.2198036578899335,-0.021242791617358037,0.09237252663635258
BTC,7,Robustness,Cross_Crypto,BTC_Return_Lag_7,0.004737267606795661,0.03702160024002569,0.12795955809803142,0.8981809778339747,-0.06782373551369411,0.07729827072728543
BTC,7,Robustness,Cross_Crypto,ETH_Return_Lag_7,-0.02072103620446442,0.030242097158643896,-0.6851719342003987,0.49323543193818564,-0.07999445745236755,0.03855238504343872
BTC,7,Robustness,Cross_Crypto,Log_BTC_Volume_Lag_7,-0.0014480296196827608,0.0012028921403898565,-1.2037900748220496,0.2286707268326852,-0.003805654892133178,0.0009095956527676564
BTC,7,Robustness,Cross_Crypto,SP500_Aligned_Lag_7,-0.05238640983243093,0.1242151886097735,-0.4217391642579615,0.6732154146727081,-0.29584370584043695,0.19107088617557508
BTC,7,Robustness,Cross_Crypto,VIX_Aligned_Lag_7,-0.0006547702019163408,0.0007388560189437894,-0.8861945834214748,0.37551268195893694,-0.002102901388806812,0.0007933609849741305
BTC,7,Robustness,Cross_Crypto,Gold_Aligned_Lag_7,0.012356542251523163,0.07392082767841322,0.16715914363512452,0.8672448306998303,-0.13252561770555832,0.15723870220860464
BTC,7,Robustness,Cross_Crypto,DXY_Aligned_Lag_7,0.020842002212579074,0.21229784113753414,0.09817340629044305,0.9217945991409555,-0.3952541204125937,0.4369381248377519
BTC,7,Robustness,Cross_Crypto,US10Y_Aligned_Lag_7,-0.019661975529134,0.013037325909996903,-1.508129478765072,0.13152139182478711,-0.045214664767438816,0.005890713709170818
ETH,7,Robustness,Baseline,const,0.03544392440241303,0.03165517153691202,1.119688274665739,0.262846623377048,-0.026599071734371954,0.09748692053919801
ETH,7,Robustness,Baseline,ETH_Return_Lag_7,-0.0014636921516555674,0.028399058238243055,-0.05154016514831165,0.9588950972047662,-0.05712482349346747,0.05419743919015634
ETH,7,Robustness,Baseline,Log_ETH_Volume_Lag_7,-0.0014869579606296398,0.001362476733729969,-1.0913639285119285,0.2751127780366627,-0.004157363288514148,0.0011834473672548687
ETH,7,Robustness,Baseline,SP500_Aligned_Lag_7,0.001508247187013135,0.15258506631689817,0.009884631723269125,0.9921133333880253,-0.297552987372763,0.30056948174678927
ETH,7,Robustness,Baseline,VIX_Aligned_Lag_7,-0.0004934966609431558,0.0008707125970857353,-0.5667733102689491,0.5708682059591847,-0.0022000619921165323,0.0012130686702302206
ETH,7,Robustness,Baseline,Gold_Aligned_Lag_7,0.046707547268422786,0.09950615161355078,0.46939356523222364,0.6387883470046327,-0.1483209261343189,0.2417360206711645
ETH,7,Robustness,Baseline,DXY_Aligned_Lag_7,0.14032523541563757,0.27585027500722925,0.5087007269141205,0.610962012804564,-0.4003313687240011,0.6809818395552762
ETH,7,Robustness,Baseline,US10Y_Aligned_Lag_7,-0.007251581669151919,0.016570631324806892,-0.4376164991551054,0.6616643088172804,-0.03972942226686467,0.02522625892856083
ETH,7,Robustness,Cross_Crypto,const,0.03433080866231933,0.03138346053540055,1.0939140578074291,0.2739926726487837,-0.027179643697299874,0.09584126102193853
ETH,7,Robustness,Cross_Crypto,ETH_Return_Lag_7,-0.01766537806436362,0.04282785566805177,-0.41247402628055074,0.6799920145890621,-0.1016064327088247,0.06627567658009746
ETH,7,Robustness,Cross_Crypto,BTC_Return_Lag_7,0.026748162260889607,0.047795111614563256,0.5596422177354932,0.5757235024113114,-0.06692853514072641,0.12042485966250563
ETH,7,Robustness,Cross_Crypto,Log_ETH_Volume_Lag_7,-0.0014396376775106451,0.0013510508427464667,-1.0655688386856677,0.2866185918319458,-0.004087648670576208,0.001208373315554918
ETH,7,Robustness,Cross_Crypto,SP500_Aligned_Lag_7,-0.0031746489966413003,0.15264320577332027,-0.02079784016955035,0.9834069206624682,-0.3023498347970855,0.29600053680380284
ETH,7,Robustness,Cross_Crypto,VIX_Aligned_Lag_7,-0.0005047668104357933,0.0008703717910335996,-0.5799438994183893,0.5619524503945222,-0.0022106641740212703,0.001201130553149684
ETH,7,Robustness,Cross_Crypto,Gold_Aligned_Lag_7,0.04545695413624379,0.0993275550641591,0.45764696520398157,0.6472060960194888,-0.14922147646192713,0.2401353847344147
ETH,7,Robustness,Cross_Crypto,DXY_Aligned_Lag_7,0.14252904721739373,0.27619914272359464,0.5160372541779726,0.6058283900083499,-0.39881132508168987,0.6838694195164774
ETH,7,Robustness,Cross_Crypto,US10Y_Aligned_Lag_7,-0.007651008333527069,0.01659027152424269,-0.46117438899941815,0.6446734947235668,-0.04016734301478317,0.024865326347729033
